model,scope,perturbation,level,hours,RMSE,MAE,NSE,R,bias_mm_h,n_values,delta_NSE,relative_delta_NSE_pct,relative_delta_RMSE_pct
gnn,auxiliares,faltantes,0.1,48,0.10292948010500204,0.025971111052308867,0.6401905573445943,0.8001308046138177,-2.983748843826872e-05,870816,-6.156485099195752e-05,-0.009615719941831054,0.008556300268324058
gnn,auxiliares,faltantes,0.2,12,0.06411313719960107,0.01687023315802162,0.8761786775481903,0.9362173784122536,-0.001761311024363739,217704,-3.68521606154415e-05,-0.004205832853440596,0.014884507766430853
gnn,auxiliares,faltantes,0.2,24,0.08663177067411931,0.02036106060632101,0.7609764343597829,0.8723595432766047,-0.0006270193355314699,435408,-5.244188827235874e-05,-0.006890919636440372,0.010971830129398553
gnn,auxiliares,faltantes,0.2,48,0.10293878942950742,0.025998205483203998,0.6401254693963657,0.8000897116014574,4.993268644585732e-05,870816,-0.00012665279922052797,-0.019781707054121668,0.017601445575227345
gnn,auxiliares,ruido,0.1,12,0.06412268435379713,0.01690405973570177,0.876141798077717,0.9362039569453352,-0.0019032826957909744,217704,-7.373163108881364e-05,-0.008414782503719947,0.02977782863643897
gnn,auxiliares,ruido,0.1,24,0.08663807551280125,0.020348670745445312,0.760941642046321,0.8723431303824177,-0.0007812419969610611,435408,-8.723420173428753e-05,-0.01146266645811923,0.018250372850003287
gnn,auxiliares,ruido,0.1,48,0.10290958314826086,0.025937607365042657,0.6403296510416788,0.8002183063006499,-0.00011831853192471737,870816,7.752884609257826e-05,0.012109111927143992,-0.010776022370672517
gnn,auxiliares,ruido,0.5,12,0.06481651742272536,0.01750771840441259,0.8734469061495145,0.9347926186340219,-0.0026924517075701594,217704,-0.0027686235592913055,-0.3159751756752596,1.1121399978824287
gnn,auxiliares,ruido,0.5,24,0.08717695925703116,0.020616082292336437,0.7579585355269343,0.8706577996494332,-0.0015347751283935186,435408,-0.003070340721121001,-0.40344602116257045,0.6403580193233096
gnn,auxiliares,ruido,0.5,48,0.10322076373679383,0.025886324206730576,0.6381512018755325,0.7988760403270891,-0.0009240474246993089,870816,-0.002100920320053712,-0.3281395324156249,0.2915739105747039
gnn,auxiliares,ruido,1.0,12,0.06711884261063972,0.019616580764728195,0.8642967342581056,0.9300949642574478,-0.004956993867623137,217704,-0.011918795450700181,-1.3602584120668548,4.703709492472829
gnn,auxiliares,ruido,1.0,24,0.08863587689539978,0.02190846339468033,0.7497895581487215,0.866159053487621,-0.003725108498761861,435408,-0.011239318099333762,-1.47685829672386,2.324587369571977
gnn,auxiliares,ruido,1.0,48,0.10426580915381488,0.02631605846100943,0.6307871275930551,0.7944717183342865,-0.0032946442141403047,870816,-0.00946499460253114,-1.478323034693471,1.3069631199427998
gnn,todas,faltantes,0.05,12,0.06403415529024756,0.016890146406058598,0.87648356422351,0.936396139442911,-0.0018967320592342416,217704,0.00026803451470425177,0.030590021018382103,-0.10832528802942706
gnn,todas,faltantes,0.05,24,0.08667403603731079,0.020364110946837852,0.7607431508406653,0.8722305966573997,-0.0007727629544373701,435408,-0.00028572540738991403,-0.03754462101340589,0.05976455379925815
gnn,todas,faltantes,0.05,48,0.1029982787613749,0.025981291059816235,0.6397093991929463,0.7998300272693316,-0.00010275074189551679,870816,-0.000542723002639911,-0.08476707594170509,0.07540259437405306
gnn,todas,faltantes,0.1,12,0.06407701392447063,0.016937246556494045,0.8763181675756361,0.9363112494070749,-0.001907517331805953,217704,0.00010263786683029075,0.011713769426615912,-0.041466894582918384
gnn,todas,faltantes,0.1,24,0.08651698497087221,0.02039516192612491,0.7616094194969563,0.8727312094637752,-0.0007754187782295067,435408,0.0005805432489009998,0.07628399749601267,-0.12154109953391484
gnn,todas,faltantes,0.1,48,0.10286050400380897,0.026006367768199954,0.6406726337483128,0.8004355089626363,-9.835924142136708e-05,870816,0.000420511552726599,0.06567905644491402,-0.058462403143979824
gnn,todas,faltantes,0.2,12,0.06562122870740178,0.01708534105841868,0.8702850306978325,0.9330394307337972,-0.0019432374326596145,217704,-0.005930499010973311,-0.67683107750261,2.3674694001614576
gnn,todas,faltantes,0.2,24,0.08717947465430315,0.020525625776516804,0.7579445676338532,0.8706163938128261,-0.0007794187016707717,435408,-0.003084308614202058,-0.4052814171004907,0.6432618884668443
gnn,todas,faltantes,0.2,48,0.10317310262623566,0.026109114262901717,0.6384852845414919,0.7990574421660145,-8.621236793030674e-05,870816,-0.0017668376540943553,-0.27595967164238716,0.24526532285302313
gnn,todas,ruido,0.1,12,0.06503769014842702,0.01829543828283449,0.8725817609989165,0.9342357359759966,-0.0007346507615656999,217704,-0.0036337687098892957,-0.41471174462028904,1.4571638975623336
